freq,unit,tra_infr,geo\TIME_PERIOD	1970 	1971 	1972 	1973 	1974 	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,KM,RD_PRO,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10566 	10566 	10726 	10726 	10726 	10600 	10700 	11690 	11690 	11628 	11628 	11628 	11690 	11607 	11645 	11645 	11645 	11631 	11631 	11631 	11631 e	11631 	11631 	11631 p	11631 	13120 	13120 	13120 	13120 	13120 p	13120 	13382 	13382 
A,KM,RD_PRO,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3097 	3122 	3124 	3173 	3042 	3129 	3259 	2375 	2349 	3874 d	3907 d	3898 d	3897 d	3929 d	3962 d	3936 d	3964 e	4006 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,KM,RD_PRO,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	101681 	102057 	104219 	104272 	104670 	105739 	106323 	106850 	109027 	109894 	110468 	111304 	110475 	112875 	113353 	113349 	114442 	113924 	113790 	115125 	115222 	114691 	115180 	143468 	149106 	151570 	147364 	147364 	156258 	157785 	154513 d	158895 	151583 	153588 	154948 	155662 	155668 	155247 	142139 	135691 	137283 	132626 	131011 	: 
A,KM,RD_PRO,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	139 	139 	139 	139 	139 	139 	139 	139 	139 	139 	139 	139 	139 	139 	139 	139 	139 	139 	139 	103 	103 	103 	103 	103 	103 
A,KM,RD_PRO,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22903 	23617 	27070 	30893 	35855 	36666 	40238 	43240 	45987 	46828 	48451 	49475 	55813 	57560 	57986 	58169 	58659 	59394 d	59710 d	60062 d	60864 d	61653 d	62923 	63214 	63782 	63684 	62485 	63076 	64334 	63848 	63532 	63655 	63018 
A,KM,RD_PRO,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	1959 	1959 	1959 	1959 	1959 	1959 	1959 	1962 	1962 	1828 	1828 	1828 	1828 	1828 	1828 	1828 	: 	: 	: 	1911 d	1911 d	1891 d	1891 d	: 	: 	: 	: 	: 	: 	: 	1910 	: 	: 	1891 	1891 	1891 	1891 	1891 	1891 	1891 	1891 	1891 	1877 	1877 
A,KM,RD_PRO,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12312 	13534 	39640 	30000 	30804 	31274 	31619 	32365 	32481 	33042 	33109 	32873 	31787 	31475 	31577 	31432 	31379 	31100 	31382 	30742 	30649 	30453 	30493 	30439 	30183 	30169 	30088 	30147 	29975 	29861 	28967 	29514 
A,KM,RD_PRO,MD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3624 	3589 	3582 	3590 	3557 
A,KM,RD_PRO,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6843 	6968 	7256 	7467 	: 	: 	: 
A,KM,RD_PRO,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2822 	2822 	2827 	2988 	2916 	3058 	3058 	3404 	3461 	3461 	3542 	3643 	3623 	: 	: 	3806 	3830 	3774 	3771 	3771 	3771 	3772 	3772 	3778 	3778 	3778 	3778 	3778 	3779 	3790 	3794 	3794 	3794 
A,KM,RD_PRO,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1167 	1167 	: 	: 	1422 	1439 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	: 	0 	0 	: 	: 	: 
A,KM,RD_PRO,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	8625 	8691 	8705 	8724 	: 	8647 	: 	: 	: 	7145 	7170 	7082 	: 	7047 	: 	: 	6910 	: 	7192 	: 	: 	: 	7885 	7866 	7856 	7799 	6882 	6878 	6944 	6834 	6804 	6812 	6794 d	6719 d	7778 	7749 	7738 	7759 	7757 	7745 	7813 	7817 	7905 	7934 
A,KM,RD_PRO,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26845 	26849 	26974 	27004 	26946 	27051 	27075 	27133 	27127 	27072 	27108 	27213 	27216 	: 	: 	: 	27027 	27049 	27075 	27074 	27262 	27281 	44281 b	44287 	44317 	44382 	44291 	44497 	44541 	44622 	44639 	44696 	44701 	44730 	44730 
A,KM,RD_PRO,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	128854 	128705 	128673 	110098 	110387 	128624 	128684 	128548 	128544 	156258 	156669 	156005 	156784 	157044 	157314 	156805 	156225 d	155814 d	155460 	154956 	154634 	156219 	154202 	153787 	153923 	154201 	153865 	153757 	153497 	153675 	153586 	153782 	153808 
A,KM,RD_PRO,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	18634 	18634 	18536 	18636 	18669 	18628 	18582 	18638 	9746 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4805 d	4528 d	4499 d	4500 d	4500 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,KM,RD_PRO,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26967 	26967 	26967 	26967 	26986 	27035 	27423 	27493 	27713 	28128 	35896 	35853 	35874 	35547 	35251 	35510 	35368 	35435 	35251 	35048 	35221 	35374 	35380 	35587 	35505 	35334 	35361 	35149 	35085 	35083 	35085 	35096 	35132 
A,KM,RD_PRO,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 	: 	: 	: z	: 	: 	: 	: 
A,KM,RD_PRO,SE	85707 d	85078 d	84168 d	84936 d	84959 d	84799 d	84851 	84863 	84849 	84924 	85015 	85012 	85012 	85016 	85160 	84354 	84132 	84247 	84347 	84375 	83753 	83182 	83252 	83233 	83294 	83263 	83368 	83447 	83442 	83357 	83094 	82892 	82915 	82882 	82990 	82984 	82932 	156885 b	156727 	157286 	157384 	157459 	158046 	157281 	157241 	157227 	156920 	157208 	157221 	140803 	136964 	141187 	141122 
A,KM,RD_PRO,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9572 	9750 	9791 	9786 	9781 	9791 	9781 	9804 	13529 	13872 	13905 	13904 	13901 	13814 	13824 	13802 	13812 	13862 	13836 	13599 	13568 	13510 	13451 	: z	: z	: z	: z	: z	: z	: z	: 	: z	: 
A,KM,RD_PRO,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3856 	3849 	3847 	3844 	3845 	3878 	3921 	3770.9 	3773 	3826 	3826.3 	3827.9 	3828.6 	3728.7 	3729 	3733.5 	3742.1 	3742.4 	3686.3 	3643.7 	3643.2 	3639.1 	3636.6 	3617 	3616 	3615.700 	3610.600 	3610 	3610.500 	3631.300 	3631.800 	3623.500 	3625 
A,KM,RD_PRO,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	27979 	27960 	28499 	28346 	28443 	28577 	28813 	29516 	26540 	: 	29693 	29929 	30050 	30133 	30368 	30568 	30429 	30579 	30712 	30948 	31390 	31558 	31880 	32155 	32474 	33065 	33513 	33896 	34153 	34165 	34136 	34029 	34116 
A,KM,RD_PRO,UA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	53943 	53945 	53999 	: 	: 
A,KM,RD_PRO,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	35992 	35864 	36116 	36162 	36264 	36353 	36250 	36540 	36610 	37003 	37084 d	35149 d	35629 d	37705 b	34442 d	34502 d	34660 d	34478 d	34558 d	35891 d	36049 d	36081 d	36456 d	37169 d	38207 d	38692 d	38974 d	: c	39233 d	: c	38173.3 d	38218.4 d	38225.4 d	38234.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,KM,RD_PRO,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1305 	1314 	1509 	: 	1541 	1495 
A,KM,RD_STA,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3739 	3794.370 	3947.510 	4090.360 	4072.360 	3201.010 	3714.950 	3675.600 	3606.050 	3606.050 
A,KM,RD_STA,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10373 	10433 	10471 	10209 	10248 	10207 	10243 	10269 	10267 	10276 	10260 	10280 	: 	: 	: 	10010 	10193 	10024 	9996 d	9993 	9994 	9959 	10003 	10009 	467 	467 	473 	489 	489 	489 	489 	493 	509 	509 
A,KM,RD_STA,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	11757 	11718 	11778 	11909 	12373 	12443 	12575 	12710 	12902 	12836 	12885 	13115 	12818 	12718 	12718 d	12634 d	12583 	12600 	12509 	12542 	12542 	12550 	12600 	12610 	12531 	12531 	12531 	12585 	12597 	12613 	12760 	13229 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,KM,RD_STA,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2933 	: 	: 	: 	: 	: 	: 	36979 	36942 	36964 	36977 	36968 	18952 d	18937 d	18945 d	18957 	18979 	19007 	19017 	19017 	19019 	19054 	19061 	19073 	19118 	19119 	19162 	19127 	19119 	19089 	19111 	19119 	19117 
A,KM,RD_STA,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18373 	18326 	347 d	350 d	350 d	345 d	348 d	0 	0 	355 d	376 d	376 d	368 d	368 d	369 	408 d	393 	398 d	397 	381 	383 	383 d	384 	384 d	390 d	392 	394 	383 	393 	397 	397 	: 	710 b	710 	710 
A,KM,RD_STA,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4666 	4687 	4784 	4864 	4959 	5052 	5098 	5261 	5368 	5440 	5573 	5554 	5589 	5332 	5344 	5360 	5412 	5406 	5415 	5404 	5411 	5422 	5422 	5441 	5446 	5461 	5461 	5461 	5470 
A,KM,RD_STA,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	55535 	55530 	55530 	55568 	55530 	55086 	55088 	54908 	54895 	54933 	54909 	54910 	54904.1 	6121 	6156 	6154 	6174 	6191 	6210 	6198 	6255 	6254 	6250 	6250 	6233 	6245 	5807.320 	5825 	5818 	5826 	5808 	5800 	5765 
A,KM,RD_STA,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	32248 	32558 	32356 	32239 	32096 	31485 	31372 	31368 	31196 	31108 	31063 	42554 	42123 	42169 	41995 	41770 	41700 	41487 	41419 	41386 	41321 	41282 	41228 	41246 	41139 	40969 	40983 	40711 	40416 	40203 	39887 	39710 	39673 	39604 	39389 	38917 	38303 	38068 	38018 	37879 	37842 	37826 	37824 	37810 
A,KM,RD_STA,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	4199 	4149 	4131 	4129 	4123 	4087 	3996 	3986 	3984 	3984 	: 	3968 	3908 	3841 	3815 	3764 	3764 	3751 	3780 d	758 	749 	718 	689 	662 	: 	: 	: 	610 	2755 	2711 	: 	: 	2697 	2645 	2629 	2614 	2613 	2598 	2602 	2594 	2603 	2606 	2606 	2606 
A,KM,RD_STA,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14781 	14766 	14737 	14709 	14691 	14922 	15303 	16369 	16356.4 	16343.4 	16340 	16341 	16442 	16452 	16459 	16371 	16380 	16369 	16487 	16370 	16385 	16397 	16469 	16490 	16584 	16597 	16594 	16605 	16608 	16609 	16668 	16933 	16969 
A,KM,RD_STA,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	8764 	8781 	8725 	8689 	8689 	8922 	9087 	9103 	9195 	9435 	9196 	9126 	9181 	9181 	9158 	9158 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,KM,RD_STA,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	79361 	80177 	74479 	74479 	73965 	18315 	18106 	18329 	18380 	20375 	20655 	20701 	20741 	: 	15862 	17186 	17294 d	17266 	17169 	17132 	17195 	17123 	17074 d	16952 d	16782 	16752 	16679 d	16453 d	16056 d	15338 d	15264 d	15103 d	15056 d	15110 d	15041 	15002 	14949 	14946 	14905 	14870 	14919.388 	14879 	14775 	: 
A,KM,RD_STA,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	75405 	: 	: 	: 	: 	76443 	76627 	76821 	76968 	77175 	76855 d	77034 d	77091 d	77162 d	77256 d	77328 d	77351 d	77352 d	77421 d	77388 d	77444 d	77468 d	77534 d	77544 d	77515 d	77496 	77489 	77461 	77403 	77396 	77383 	77349 	77329 	78093 	77252 	77107 	77091 	77100 	77016 	76999 	76975 	76962 	: 
A,KM,RD_STA,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	29000 	29000 	29000 	28130 	28130 	28130 	28335 	28257 	28395 	28153 	28192 	28274 	28360 	28243 	28212 	28090 d	28097 	26881 d	26856 d	26584 d	26298 d	26126 d	26050 d	26154 d	26127 d	26014 d	9760 	10365 	9861 	9765 	9768 	9754 	9757 	9631 	9658 	9644.670 	9633.464 	9622.514 	9044.017 	9551.412 	9521.906 	9697.718 	9581.277 	9472.735 
A,KM,RD_STA,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4323 	4427 	4448 	4438 	4438 	4438 	4422 	7048 	7048 	7041 	7016 	7038 	6812 d	6671 d	6500 d	6501 d	6788 d	6963 d	6810 d	6813 	6811 d	6843 	6581 	6711 	6723 	6758 	6937 	6969 	7019 	7049 	7137 	7180 	7215 
A,KM,RD_STA,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	29392 	29625 	29681 	29694 	29738 	29653 	29357 	29415 	29464 	30267 	30307 	30322 	30460 	30536 	30638 	30808 	31085 	31182 	31363.4 	30104 	30151.1 	30182.5 	30177.1 	30197.800 	30224.500 	30303.300 	30357.500 	30369.800 	30400.200 	30480.500 	30621.300 	30661.800 	30684.600 
A,KM,RD_STA,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5253 	5255 	4432 	4411 	4392 	5260 	5270 	5350 	5329 	5326 	5200 	5185 	5185 	5255 	5230 	5168 	5157 	5159 	5010 	4781 	4513 	4513 	4513 	4513 p	4513 	4390 	4390 	4390 	4390 	4314 	4314 	5419 	5434 
A,KM,RD_STA,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8269 	8272 	8256 	8254 	8249 	8244 	8020 	8181 	8243 	4306 d	4306 	4305 	4310 	4280 	4277 	4272 	4265 e	4219 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,KM,RD_STA,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	44728 	44839 	45447 	45147 	45461 	45618 	45765 	45779 	45779 	44752 	45005 	44740 	45076 	44888 	44757 	45237 	45130 	46043 	45819 	42977 	46483 	46556 	46870 	20654 	17250 	17250 	21524 	21524 	19290 	19290 	19375 	20856 	20773 	19861 	19920 	19894 	21686 	20786 	22399 	23335 	23305 	28307 	29562 	: 
A,KM,RD_STA,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,KM,RD_STA,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20904 	20522 	20727 	20717 	20725 	20727 	20717 	20711 	20747 	20854 	20896 	20899 	20947 	20916 	20928 	20911 	21016 	21012 	21011 	20959 	20958 	20949 	20934 	20945 	20943 	20940 	20930 	20927 	20915 	20835 	20838 	20838 	20803 
A,KM,RD_STA,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	912 	912 	912 	926 	926 	926 	926 	930 	942 	941 	947 	947 	947 	964 	969 	990 	: 	: 	: 	837 	837 	837 	837 	837 	837 	839 	837 	837 	837 	837 	837 	: 	: 	837 	837 	837 	837 	837 	837 	839 	839 	839 	850 	850 
A,KM,RD_STA,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20600 	8272 	7018 	20538 	20446 	20411 	20332 	20332 	20329 	20318 	20323 	20320 	20279 	20309 	20227 	20182 	20167 	20180 	20176 	20178 	20150 	20119 	20115 	20093 	20150 	20093 	20073 	20047 	19990 	20015 	20039 	20034 	20018 
A,KM,RD_STA,MD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5822 	5842 	5882 	5882 	5931 
A,KM,RD_STA,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1782 	1782 	1782 	1782 	: 	: 	: 
A,KM,RD_STA,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	862 	840 	840 	840 	806 	771 	909 	909 	909 	909 	909 	937 	957 	: 	: 	906 	911 	911 	911 	911 	911 	911 	911 	908 	908 	908 	899 	899 	902 	897 	897 	897 	897 
A,KM,RD_STA,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2410 e	2854 e	2854 e	2855.480 e	: 	2855.480 e	2855 e	2855 	2855 	: 
A,KM,RD_STA,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	2763 	2797 	2759 	2760 	2735 	2721 	2371 	2064 	2023 	2030 	2039 	1956 	: 	1858 	: 	: 	998 	: 	986 	814 	893 	894 	4892 	4997 	5104 	5136 	989 	938 	790 	751 	750 	711 	697 d	697 d	2525 	2564 	2549 	2584 	2599 	2628 	2668 	2714 	2743 	2778 
A,KM,RD_STA,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26030 	26147 	26236 	26265 	26425 	26406 	26463 	26452 	26547 	26610 	26611 	26705 	26781 	: 	: 	: 	27252 	27274 	27343 	27328 	27469 	27477 	10496 b	10574 	10581 	10562 	10608 	10666 	10695 	10683 	10713 	10753 	10489 	10511 	10511 
A,KM,RD_STA,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	45280 	45342 	45359 	45595 	45612 	45431 	45417 	45384 	45409 	17803 	17706 	18116 	18166 	18253 	18368 	18287 	18439 	18546 	18520 	18579 	18606 	18801 	19182 	19296 	19293 	19293 	19388 	19410 	19403 	19451 	19477 	19498 	19459 
A,KM,RD_STA,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9074 	9198 	9169 	9108 	9069 	9091 	9055 d	9032 d	8983 d	10156 d	14099 d	13883 d	10351 d	10564 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
